6.7,9.69,1.45,1.45,2.4533
6.65,9.59,1.5,1.5,3.3313
6.65,9.49,1.4705,1.4705,3.6275
6.6,9.39,1.4916,1.4916,3.4825
6.6,9.29,1.4714,1.4714,3.3313
6.55,9.19,1.5075,1.5075,3.4694
6.5,9.09,1.5403,1.5403,3.4694
6.45,8.99,1.566,1.566,3.3313
6.45,8.89,1.5338,1.5338,3.3313
6.4,8.79,1.5524,1.5524,3.4694
6.35,8.69,1.5788,1.5788,4.6198
6.3,8.59,1.6008,1.6008,4.4971
6.25,8.49,1.6279,1.6279,4.3711
6.2,8.39,1.6621,1.6621,4.2412
6.15,8.29,1.7007,1.7007,4.1073
6.1,8.19,1.7088,1.7088,3.9689
6.05,8.09,1.7241,1.7241,3.8254
6,7.99,1.7464,1.7464,4.0449
5.9,7.89,1.7847,1.7847,3.9855
5.85,7.79,1.7586,1.7586,3.8254
5.8,7.69,1.7393,1.7393,4.9695
5.75,7.59,1.7241,1.7241,4.8557
5.7,7.49,1.7088,1.7088,4.7392
5.65,7.39,1.6919,1.6919,4.6198
5.6,7.29,1.6808,1.6808,4.4971
5.55,7.19,1.6771,1.6771,4.3711
5.5,7.09,1.6808,1.6808,4.2412
5.45,6.99,1.6919,1.6919,4.1073
5.4,6.89,1.7066,1.7066,3.9689
5.35,6.79,1.7205,1.7205,3.8254
5.3,6.69,1.7205,1.7205,4.0449
5.2,6.59,1.7103,1.7103,4.8848
5.15,6.49,1.6985,1.6985,4.7551
5.05,6.39,1.7066,1.7066,4.6218
5,6.29,1.6919,1.6919,4.4845
4.9,6.19,1.7029,1.7029,4.3429
4.85,6.09,1.7066,1.7066,4.1966
4.75,5.99,1.7007,1.7007,4.0449
4.7,5.89,1.6919,1.6919,4.1233
4.65,5.79,1.6808,1.6808,3.9855
4.55,5.69,1.6325,1.6325,3.8254
4.55,5.59,1.6763,1.6763,3.8254
4.45,5.49,1.6155,1.6155,3.9399
4.4,5.39,1.6101,1.6101,3.7779
4.35,5.29,1.5788,1.5788,3.6269
4.3,5.19,1.5524,1.5524,3.4694
4.25,5.09,1.5338,1.5338,3.3313
4.25,4.99,1.5692,1.5692,3.3313
4.2,4.89,1.5652,1.5652,3.4694
4.15,4.79,1.5652,1.5652,4.3711
4.1,4.69,1.5692,1.5692,4.2412
4.05,4.59,1.5811,1.5811,4.1073
4,4.49,1.6008,1.6008,3.9689
3.95,4.39,1.6101,1.6101,3.8254
3.9,4.29,1.6101,1.6101,4.0449
3.8,4.19,1.5652,1.5652,3.9855
3.75,4.09,1.5692,1.5692,3.8254
3.7,3.99,1.5811,1.5811,4.0096
3.65,3.89,1.5882,1.5882,3.8677
3.6,3.79,1.5953,1.5953,3.7203
3.55,3.69,1.6101,1.6101,3.5669
3.45,3.59,1.5882,1.5882,3.3872
3.4,3.49,1.5788,1.5788,3.1973
3.35,3.39,1.5524,1.5524,3.0174
3.25,3.29,1.4866,1.4866,2.8026
